id,name,name_with_namespace,classification ,hardware_score
68831744,SIS1160 PCI-L IO add on,ohwr/project/sis1160-pci-io,hardware,0
68831714,AMC FMC Carrier AFCZ,ohwr/project/afcz,hardware,67
68831659,FSI DIOT Photodetection module 8ch,ohwr/project/diot-fsi-det-8ch,hardware,141
68831621,PXIe Communication Tester - PXCT,ohwr/project/pxct,hardware,0
68831605,AMC FMC Carrier Kintex Ultrascale AFCKU,ohwr/project/afcku,hardware,0
68831491,FMC High-Voltage supply - fmc-hv-2ch,ohwr/project/fmc-hv-2ch,hardware,0
68831428,PZ Carrier and Trigger IO - PZ-TIO,ohwr/project/pz-tio,hardware,65
68831383,DIOT Peripheral Board Loop-back,ohwr/project/diot-pb-lbk,hardware,0
68831336,Optical to electrical converter,ohwr/project/conv-opt-ttl-1i-1o,hardware,51
68831285,BabyWR,ohwr/project/babywr,hardware,0
68831201,WRTD Reference Designs,ohwr/project/wrtd-ref-designs,hardware,0
68831178,Negative Pressure Wound Treatment,ohwr/project/npwt,hardware,29
68831063,DIOT Mixed Digital IO RTM,ohwr/project/mdior,hardware,0
68830978,ACCURATE 2A Evaluation Board,ohwr/project/accurate2-eval,hardware,63
68830827,Analogue GIRAPH,ohwr/project/analogue-giraph,hardware,23
68830816,PandABox II,ohwr/project/PandaBox2,hardware,54
68830784,Idrogen,ohwr/project/idrogen,hardware,0
68830742,WREN,ohwr/project/wren,hardware,0
68830702,Quad-Channel Digital Pico ammeter,ohwr/project/P4CH-LNLS,hardware,0
68830641,mrpc-25x18-24strip,ohwr/p-det/mrpc-25x18-24strip,hardware,0
68830633,Open Breath Lung Ventilator,ohwr/openbreath/lungventilator,hardware,0
68830613,Open Breath PEP Whistle,ohwr/openbreath/pepwhistle,hardware,0
68830587,fmc-delay-1ns-8cha-sa,ohwr/oh-applications/fmc-delay-1ns-8cha-sa,hardware,0
68830426,hdl-make,ohwr/misc/hdl-make,hardware,0
68830382,panda,ohwr/misc/panda,hardware,0
68830356,pmtlib,ohwr/misc/pmtlib,hardware,0
68830124,conv-ttl-rs485-tst,ohwr/level-conversion/conv-ttl-rs485/conv-ttl-rs485-tst,hardware,0
68830085,conv-ttl-blo-hw,ohwr/level-conversion/conv-ttl-blo/conv-ttl-blo-hw,hardware,0
68830075,conv-ttl-blo-tst,ohwr/level-conversion/conv-ttl-blo/conv-ttl-blo-tst,hardware,0
68830050,conv-diff-se-cable-driver,ohwr/level-conversion/conv-diff-se-cable-driver,hardware,0
68829994,ddr3-sp6-core,ohwr/hdl-core-lib/ddr3-sp6-core,hardware,0
68829889,gn4124-core,ohwr/hdl-core-lib/gn4124-core,hardware,0
68829869,mock-turtle,ohwr/hdl-core-lib/mock-turtle,hardware,0
68829777,tdc-core,ohwr/hdl-core-lib/tdc-core,hardware,0
68829736,urv-core,ohwr/hdl-core-lib/urv-core,hardware,0
68829698,vme64x-core,ohwr/hdl-core-lib/vme64x-core,hardware,0
68829574,fmc-tdc-1ns-5cha-hw,ohwr/fmc-projects/fmc-tdc/fmc-tdc-1ns-5cha-hw,hardware,0
68829474,fmc-mtlu-hw,ohwr/fmc-projects/fmc-mtlu/fmc-mtlu-hw,hardware,0
68829308,fmc-dac-600m-12b-1cha-tst,ohwr/fmc-projects/fmc-dac-600m-12b-1cha-dds/fmc-dac-600m-12b-1cha-tst,hardware,0
68828044,euro-adc-65m-14b-40cha-hw,ohwr/eurocard/euro-adc-65m-14b-40cha/euro-adc-65m-14b-40cha-hw,hardware,0
68827778,masterfip-tst,ohwr/cern-fip/masterfip/masterfip-tst,hardware,0
68877533,AIDAInnova_TLU,ohwr/cussans/aidainnova_tlu,hardware,
68861936,Low-level RF Servo control,ohwr/project/lrfsc,hardware,
68857928,FMC LPC 100 Mil 12 Pin Digital IO Expansion Board,ohwr/project/lpcfmc12pexp,hardware,
68857475,FMC 8 channel temperature monitor,ohwr/project/fmc-8cha-temp,hardware,
68855934,FMC DAC 130M 12b 4ch 4SFP,ohwr/project/fmc-dac-130m-12b-4ch-4sfp,hardware,
68855572,CROME,ohwr/project/crome,hardware,
68854353,FMC Dual channel L band front-end,ohwr/project/fmc-fe-l-band-2ch,hardware,
68852498,VMR-DIO-24ch-DCI,ohwr/project/vmr-dio-24ch-dci,hardware,
68851537,eez-psu,ohwr/project/eez-psu,hardware,
68851219,FMC VHDCI,ohwr/project/fmc-vhdci,hardware,
68865595,mtca-4-timing-module,ohwr/xtca-projects/mtca-4-timing-module,hardware,
68865546,wrs-ljdprep-hw,ohwr/white-rabbit/wr-switch-hw/wrs-ljdprep-hw,hardware,
68865541,wrs-low-jitter,ohwr/white-rabbit/wr-switch-hw/wrs-low-jitter,hardware,
68864807,wr-switch-hw-v4,ohwr/white-rabbit/wr-switch-hw-v4,hardware,
68864694,libsfp,ohwr/sfp/sfp-plus-i2c/libsfp,hardware,
68864672,radtol-led-luminaire,ohwr/rad-tol-projects/radtol-led-luminaire,hardware,
68864662,radtol-led-psu,ohwr/rad-tol-projects/radtol-led-psu,hardware,
68864604,pandabox-hw,ohwr/rack-19/pandabox/pandabox-hw,hardware,
68864572,eez-psu,ohwr/rack-19/eez-psu,hardware,
68853485,Rad-tol projects,ohwr/project/rad-tol-projects,hardware,
68853339,Particle Detectors,ohwr/project/p-det,hardware,
68852392,Data centre environmental sensors,ohwr/project/dces,hardware,
68852161,Rackable 19 projects,ohwr/project/rack-19,hardware,
68851956,SFP,ohwr/project/sfp,hardware,
68851151,PC104,ohwr/project/pc104,hardware,
68830716,White Rabbit Timing System,ohwr/project/wrt,hardware,
68827870,diot-dio-16ch-opt-24v,ohwr/diot/diot-dio-16ch-opt-24v,hardware,
68851064,FMC Prototype Board - LPC,ohwr/project/fmc-prt-lpc,hardware,
68849218,luvi,ohwr/project/luvi,hardware,
68849177,OpenDSO - Open Digital Storage Oscilloscope,ohwr/project/opendso,hardware,
68848194,SPEC150,ohwr/project/spec150,hardware,
68848032,PROFIP - PROFINET-IRT - WorldFIP gateway,ohwr/project/profip,hardware,
68847646,Holoblade,ohwr/project/holoblade,hardware,
68831815,fmc-temp-pt100-15ch,ohwr/project/fmc-temp-pt100-15ch,hardware,
68831783,samc-temp-thcpl-20ch,ohwr/project/samc-temp-thcpl-20ch,hardware,
68831589,FMC Motion Front-End,ohwr/project/fmc-mfe,hardware,
68831445,samb-step-dcdrive-4ch,ohwr/project/samb-step-dcdrive-4ch,hardware,
68830673,Ultra low noise amplifier,ohwr/project/ultra-low-noise-amplifier,hardware,
68827880,wandadapter,ohwr/edm/wandadapter,hardware,
