project_id,name,path,classification,hw_score
68854877,fwatch,ohwr/project/f-watch,hardware,0
68854781,FMC DEL 1ns 4cha - stand-alone application,ohwr/project/fmc-delay-1ns-8cha-sa,hardware,0
68854768,Applications of Open Hardware,ohwr/project/oh-applications,empty_respository,0
68854740,FMC POF 10M R4ch ,ohwr/project/fmc-pof-10m-r4ch,hardware,26
68854710,FMC POF 10M R3ch T1ch,ohwr/project/fmc-pof-10m-r3ch-t1ch,hardware,26
68854670,Beam Positoning Monitor - Gateware,ohwr/project/bpm-gw,not_hardware,0
68854620,USB Projects,ohwr/project/usb-projects,not hardware,0
68854594,FMC ADC 125M 14b 12ch - DAC 1250M 16b 2ch,ohwr/project/fmc-adc125m14b12ch-dac1250m16b2ch,hardware,20
68854576,FMC TDC 1ns 5cha - Hardware,ohwr/project/fmc-tdc-1ns-5cha-hw,hardware,0
68854551,FMC TDC 1ns 5cha - Gateware,ohwr/project/fmc-tdc-1ns-5cha-gw,not_hardware,0
68854527,FMC TDC 1ns 5cha - Testing,ohwr/project/fmc-tdc-1ns-5cha-tst,not_hardware,0
68854503,MasterFIP,ohwr/project/masterfip,hardware,43
68854475,MasterFIP - Gateware,ohwr/project/masterfip-gw,not_hardware,0
68854444,MasterFIP - Software,ohwr/project/masterfip-sw,not_hardware,0
68854411,MasterFIP - Testing,ohwr/project/masterfip-tst,hardware,0
68854391,Converter Common Gateware,ohwr/project/conv-common-gw,not_hardware,0
68854353,FMC Dual channel L band front-end,ohwr/project/fmc-fe-l-band-2ch,ambiguous,17
68854321,Conv TTL Blocking - Hardware,ohwr/project/conv-ttl-blo-hw,hardware,0
68854300,Conv TTL Blocking - Testing,ohwr/project/conv-ttl-blo-tst,hardware,0
68854271,Conv TTL RS485 - Gateware,ohwr/project/conv-ttl-rs485-gw,not_hardware,0
68854232,Conv TTL RS485 - Hardware,ohwr/project/conv-ttl-rs485-hw,not_hardware,0
68854220,Conv TTL RS485 - Testing,ohwr/project/conv-ttl-rs485-tst,hardware,0
68854172,FMC ADC 2k 24b 8cha,ohwr/project/fmc-adc-2k24b8cha,not_hardware,0
68854152,CompactRIO White Rabbit CRIO-WR,ohwr/project/crio-wr,not_hardware,0
68854122,3.3V adapter for SVEC,ohwr/project/svec-3v3,not_hardware,0
68854097,FMC ADC 100M 14b 16cha DAC 2M 14B 4 cha ,ohwr/project/fmc-adc100m14b16cha-dac2m14b4cha,not_hardware,0
68854059,FMC DAC 100M 14b 16cha ADC 2M 14B 4 cha,ohwr/project/fmc-dac100m14b16cha-adc2m14b4cha,not_hardware,0
68854031,USB ADC 2k 12b 4ch DAC 2k 10b 2ch dio 8ch,ohwr/project/usb-adc2k12b4ch-dac2k10b2ch-dio8ch,hardware,42
68854003,Machines and tools,ohwr/project/machines-tools,empty_respository,0
68853966,Furnarius Rufus PCB Milling Machine,ohwr/project/fr_pcb_mm,not_hardware,0
68853941,EDM Boards,ohwr/project/edm,empty_respository,0
68853895,WandAdapter,ohwr/project/wandadapter,hardware,22
68853857,EPICS support for Wishbone peripherals,ohwr/project/epics-wb,not_hardware,0
68853821,FMC DIO 16ch lvds a,ohwr/project/fmc-dio-16ch-lvds-a,not_hardware,0
68853775,meta-spec,ohwr/project/meta-spec,not_hardware,0
68853748,PCI core,ohwr/project/pci-core,not_hardware,0
68853728,tr-pmc,ohwr/project/tr-pmc,hardware,0
68853680,FMC MasterFIP,ohwr/project/fmc-masterfip,hardware,155
68853664,VME FMC Carrier - VFC-HD,ohwr/project/vfc-hd,not_hardware,0
68853614,GBT-based Expandable Front-End GEFE,ohwr/project/gefe,hardware,69
68853580,Scalable  MAROC Charge Sensitive Readout,ohwr/project/maroc_csa,hardware,0
68853552,nanoFIP,ohwr/project/nanofip,hardware,24
68853525,nanoFIP - Gateware,ohwr/project/nanofip-gateware,not_hardware,0
68853504,FMC optical TX 72ls 8hs,ohwr/project/fmc-72chopt480-8chopt1600,not_hardware,0
68853485,Rad-tol projects,ohwr/project/rad-tol-projects,empty_respository,0
68853465,Radiation Tolerant LED PSU,ohwr/project/radtol-led-psu,hardware,32
68853423,Cosmic Pi,ohwr/project/cosmic-pi,hardware,55
68853384,White Rabbit High-availability Seamless Redundancy WR-HSR,ohwr/project/wr-hsr,not_hardware,0
68853339,Particle Detectors,ohwr/project/p-det,empty_respository,0
68853308,MRPC 25x18 24strip,ohwr/project/mrpc-25x18-24strip,hardware,0
68853221,SDB - Self-describing Bus,ohwr/project/sdb,not_hardware,0
68853191,adc-lib,ohwr/project/adc-lib,not_hardware,0
68853076,embedded-linux,ohwr/project/embedded-linux,ambiguous,16
